id,name,description,type,is_collection,property_count,method_count,hierarchy,role
interface_877,SimTraceSettingAtt,Interface to handle parameters of Infrastructure-DELMIA Infrastructure-Simulation Trace Tools Options Tab page.,Object,false,13,20,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SettingController\, \SimTraceSettingAtt\",This interface is implemented by a component which represents the controller of Simulation Trace Tools Options parameter settings. Methods to set value of each parameter xxx Methods to get value of each parameter xxx Methods to get information on each parameter xxx Methods to lock/unlock value of each parameter xxx Here is the list of parameters to use and their meaning: TracePointVisu : defines the option for displaying the points within a simulation trace. TracePointColor : defines the color to be used if displaying points within a simulation trace. TracePointSymbol : defines the symbol to be used if displaying points within a simulation trace. TraceLineVisu : defines the option for displaying the lines within a simulation trace. TraceLineColor : defines the color to be used if displaying lines within a simulation trace. TraceLineType : defines the line type to be used if displaying lines within a simulation trace. TraceLineThick : defines the thickness to be used if displaying lines within a simulation trace. TraceAxisVisu : defines the option for displaying the axis within a simulation trace. TraceAxisColor : defines the color to be used if displaying axis within a simulation trace. TraceAxisType : defines the line type to be used if displaying axis within a simulation trace. TraceAxisThick : defines the thickness to be used if displaying axis within a simulation trace. TraceDeletePath : defines the option for deleting the simulation trace when a new simulation is run. TraceLegend : defines the type of information to be displayed when a point/line/axis within a simulation trace is (pre)selected by the user. The values are in order: All Legend (not used). Name. X. Y. Z. Yaw. Pitch. Roll...
interface_878,Simplifications,Interface to compute Simplifications.,Collection,true,0,3,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \Simplifications\",Unknown
interface_879,SimulationInitState,Interface used to save/restore the simulation initial state.,Object,false,0,4,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SimulationInitState\","This interface is used to save/restore the initial state for objects in the current document. The following code snippet can be used to save the simulation initial state for all the objects in the current document (all attributes). The rootProduct can be any product from the current document. Dim iMask iMask = DNBAllInitStateAttr Dim iSimInitState As SimulationInitState Set iSimInitState = rootProduct.GetTechnologicalObject(""""SimulationInitState"""") iSimInitState. SaveInitialState iMask ."
interface_880,SimulationSettingAtt,Interface to handle parameters of DELMIA Simulation Tools Options Tab pageRole: This interface is implemented by a component which represents the controller of Simulation Tools Options parameter settings.,Object,false,15,20,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SettingController\, \SimulationSettingAtt\",Unknown
interface_881,Sketch,The Sketch is a 2D based element comprising constrained 2D geometrical elements.,Object,false,5,6,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shape\, \Sketch\",Unknown
interface_882,SketchBasedShape,Represents the shapes based on sketched 2D geometry.,Object,false,1,1,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shape\, \SketchBasedShape\",Unknown
interface_883,Sketches,The body's collection of sketches not yet used by any shape.,Collection,true,0,3,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \Sketches\",Unknown
interface_884,Slot,Represents the slot shape.,Object,false,0,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shape\, \SketchBasedShape\, \Sweep\, \Slot\",Unknown
interface_885,Solid,Represents an imported solid object.,Object,false,3,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shape\, \SketchBasedShape\, \Solid\",the imported solid is a solid obtained from copy/paste with link or design in context. The solid object has a link to a source element obtained from SourceElement and a source product obtained from SourceProduct .
interface_886,SolidCombine,The interface to access a CATIASolidCombine.,Object,false,4,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shape\, \SketchBasedShape\, \SolidCombine\",Unknown
interface_887,SpecV4SettingAtt,Represents the V4/V5 SPEC setting controller object. The different options for V4/V5SPEC tab.,Object,false,2,4,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SettingController\, \SpecV4SettingAtt\",The V4/V5 SPEC setting controller object deals with the setting parameters displayed in the V4/V5SPEC property page. To access this property page: Click the Options command in the Tools menu Click + left of General to unfold the workbench list Click Compatibility The different options for V4/V5SPEC tab The Step By Step Update And Reroute The Draft Feature Migration Mode .
interface_888,SpecsAndGeomWindow,Represents a window featuring a specification viewer and a geometry viewer.,Object,false,2,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Window\, \SpecsAndGeomWindow\",Unknown
